Error;Conv1 Area;Conv2 Area;Conv3 Area;FC1 Area; FC2 Area;Conv1 Pwr;Conv2 Pwr;Conv3 Pwr;FC1 Pwr;FC2 Pwr
0;97326.840;645476.000;2740456.160;452530.520;346219.640;8066671.211;49948639.770;174492285.505;38660242.141;27594876.801;
-0.04;97326.840;540848.880;2740456.160;454030.200;361289.240;8066671.211;38526250.243;174492285.505;34944120.432;25582890.313;
0.15;81045.120;670968.480;2740456.160;473998.200;346219.640;5452905.279;46260573.070;174492285.505;35807418.000;27594876.801;
-0.08;97326.840;646102.080;1738094.800;369852.600;293056.920;8066671.211;45294707.040;131060141.249;29415133.609;18851748.926;
0.13;81045.120;698408.880;1755348.400;452530.520;376664.600;5452905.279;49548606.134;131566811.401;38660242.141;27457188.474;
0.04;101821.720;645476.000;1322739.600;446604.600;376664.600;7478052.130;49948639.770;101447364.226;32865669.942;27457188.474;
0.07;107466.320;636757.680;1755348.400;452530.520;342134.520;8107503.256;42811064.325;131566811.401;38660242.141;23671790.312;
0.01;107466.320;670968.480;2740456.160;454030.200;293056.920;8107503.256;46260573.070;174492285.505;34944120.432;18851748.926;
-0.02;97326.840;540848.880;1322739.600;454030.200;361289.240;8066671.211;38526250.243;101447364.226;34944120.432;25582890.313;
0.22;81045.120;549101.280;1598350.000;369852.600;380269.240;5452905.279;34198401.108;119165373.324;29415133.609;27720699.228;
0.34;81045.120;549101.280;1598350.000;369852.600;380269.240;5452905.279;34198401.108;119165373.324;29415133.609;27720699.228;










