Conf;Error (%);Reward;conv1;conv2;conv3;fc1;fc2;Total;%FPGA;conv1;conv2;conv3;fc1;fc2;Total;%FPGA;conv1;conv2;conv3;fc1;fc2;Total
0;0;0;4044;24317;64824;19409;13591;126185;7.302372685;2964;17687;47089;14060;9896;91696;2.653240741;22914.676;123761.109;99133.391;99133.391;70547.102;415489.669
1;0.337196;0.362504;1964;11679;41181;19409;8662;82895;4.797164352;1971;11810;36677;14060;7746;72264;2.090972222;15176.75;78510.07;78448.672;99133.391;56545.746;327814.629
2;-0.0628052;0.246012;2570;15397;64824;12325;6661;101777;5.889872685;2301;13768;47089;10936;6648;80742;2.336284722;18423.791;97842.227;99133.391;99133.391;45158.016;359690.816
3;0.477196;0.373146;1964;11679;41181;9517;4429;68770;3.97974537;1971;11810;36677;9374;5501;65333;1.890422454;15176.75;78510.07;78448.672;62636.25;39035.332;273807.074
4;0.377197;0.369892;1964;11679;52422;9517;13591;89173;5.160474537;1971;11810;41883;9374;9896;74934;2.168229167;15176.75;78510.07;91247.234;62636.25;70547.102;318117.406
5;0.0671921;0.286128;1964;15397;41181;15687;6661;80890;4.681134259;1971;13768;36677;12498;6648;71562;2.070659722;15176.75;97842.227;78448.672;91247.234;45158.016;327872.899
6;0.347191;0.362784;1964;11679;41181;19409;6661;80894;4.681365741;1971;11810;36677;14060;6648;71166;2.059201389;15176.75;78510.07;78448.672;99133.391;45158.016;316426.899
7;0.0971909;0.288648;1964;15397;41181;12325;13591;84458;4.887615741;1971;13768;36677;10936;9896;73248;2.119444444;15176.75;97842.227;78448.672;99133.391;70547.102;361148.142
8;0.177193;0.32911;2570;11679;64824;9517;8662;97252;5.628009259;2301;11810;47089;9374;7746;78320;2.266203704;18423.791;78510.07;99133.391;62636.25;56545.746;315249.248
9;0.117195;0.32603;2570;11679;64824;12325;6661;98059;5.674710648;2301;11810;47089;10936;6648;78784;2.27962963;18423.791;78510.07;99133.391;99133.391;45158.016;340358.659
10;-0.0228043;0.24944;2570;15397;41181;12325;13591;85064;4.922685185;2301;13768;36677;10936;9896;73578;2.128993056;18423.791;97842.227;78448.672;99133.391;70547.102;364395.183
11;-0.0728073;0.166369;4044;15397;52422;15687;6661;94211;5.452025463;2964;13768;41883;12498;6648;77761;2.250028935;22914.676;97842.227;91247.234;91247.234;45158.016;348409.387
